,info,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,No_weighted_LGBM_1_RMSE,No_weighted_LGBM_2_RMSE
0,Plain_w200_Plain_wAll,1.1673679414490323,1.162665259651393,1.162648254724811,1.1628878590933218,1.1635515481549528,1.1638925154993116,0.9154780761884759,1.1774168530989881
1,Plain_w200_Exp_w200,1.137008805009277,1.1303738459257946,1.1312341384624645,1.131611134897814,1.1324159772953155,1.1328490764963168,0.9154780761884759,0.9789123013220792
2,Plain_w200_Exp_wAll,1.1687136413983765,1.1646858436821848,1.164912523943491,1.1652344120282287,1.165854474969188,1.1661911813609422,0.9154780761884759,0.9778456709512934
3,Plain_w200_Linear_w200,1.1441117988777876,1.143804391747488,1.1438674195846545,1.1439255979515786,1.143987559940665,1.1440161343377424,0.9154780761884759,0.9108567753934912
4,Plain_w200_Linear_wAll,1.1715292523223855,1.1677157843028032,1.1678451159431875,1.1682315410466801,1.1690162146903114,1.1693919577635703,0.9154780761884759,1.1035302175020887
5,Plain_wAll_Exp_w200,1.1617881303899136,1.1494384107516982,1.149997935672382,1.1501438731403413,1.1511539485449225,1.1518360574663946,1.1774168530989881,0.9789123013220792
6,Plain_wAll_Exp_wAll,1.203063060694157,1.1965224407509618,1.1966001786214173,1.1965598683453618,1.1968885524708628,1.1971561734843235,1.1774168530989881,0.9778456709512934
7,Plain_wAll_Linear_w200,1.168251108720307,1.1632284604070315,1.1632824811760647,1.1634840585207507,1.1641349797864724,1.1645028626022862,1.1774168530989881,0.9108567753934912
8,Plain_wAll_Linear_wAll,1.223597832696556,1.222375098747637,1.2220115861654026,1.2219075075696773,1.2219182779523146,1.221909988611392,1.1774168530989881,1.1035302175020887
9,Exp_w200_Exp_wAll,1.1704753059304174,1.1639260084289569,1.1646295075595667,1.1651048695025605,1.1660918900745385,1.166588570863716,0.9789123013220792,0.9778456709512934
10,Exp_w200_Linear_w200,1.1401788412316742,1.1347513603846253,1.135540139615304,1.135912627572639,1.136633682399831,1.137014804613105,0.9789123013220792,0.9108567753934912
11,Exp_w200_Linear_wAll,1.1655599847150504,1.1539086241958367,1.1545316145271103,1.1548208214795366,1.1559278413626959,1.156617975974963,0.9789123013220792,1.1035302175020887
12,Exp_wAll_Linear_w200,1.1717717887278183,1.1686812171680248,1.1688905978067283,1.1692249126821361,1.1697790967717037,1.1700576227555757,0.9778456709512934,0.9108567753934912
13,Exp_wAll_Linear_wAll,1.2084829994736463,1.203492737602447,1.203625608256567,1.2037116796627232,1.2041642104049897,1.2044890844832459,0.9778456709512934,1.1035302175020887
14,Linear_w200_Linear_wAll,1.1725065654457965,1.1683984178209805,1.1685952714475794,1.168960761451889,1.1697448315258883,1.1701441502626695,0.9108567753934912,1.1035302175020887
